ID	DateTime	Run	Retrieval_Trial	FaceRecog_OnsetTime	FaceRecog_OnsetTimeUncertainty	FaceRecog_fMRI_Pulse	FaceRecog_fMRI_PulseTime	Assoc_Retrieval_OnsetTime	Assoc_Retrieval_OnsetTimeUncertainty	Assoc_Retrieval_fMRI_Pulse	Assoc_Retrieval_fMRI_PulseTime	Assoc_Retrieval_Pressed_Button	Assoc_Retrieval_RT	Assoc_Retrieval_Response_Category	Assoc_Retrieval_Accuracy	Assoc_Retrieval_Feedback_OnsetTime	Assoc_Retrieval_Feedback_OnsetTimeUncertainty	Assoc_Retrieval_Feedback_fMRI_Pulse	Assoc_Retrieval_Feedback_fMRI_PulseTime	Retrieval_consc_Rating_OnsetTime	Retrieval_consc_Rating_OnsetTimeUncertainty	Retrieval_consc_Rating_fMRI_Pulse	Retrieval_consc_Rating_fMRI_PulseTime	Retrieval_consc_Rating_Pressed_Button	Retrieval_consc_Rating_RT	Retrieval_consc_Rating_Feedback_OnsetTime	Retrieval_consc_Rating_Feedback_OnsetTimeUncertainty	Retrieval_consc_Rating_Feedback_fMRI_Pulse	Retrieval_consc_Rating_Feedback_fMRI_PulseTime	Presented_Person	Presented_Target	Presented_Lure	num_pulse	fifth_pulse_time	TrialStatus
62162	06/22/2021 15:35:42	1	1	1620587	1	665	1619940	1622770	1	666	1622059	2	865	inorganic	correct	1623670	1	666	1622059	1626819	1	668	1626300	2	344	1627185	1	668	1626300	faw_14215.png	faw_Kuechenmaschine.png	faw_Hufeisen.png	665	1619940	ok
62162	06/22/2021 15:35:54	1	2	1631267	1	670	1630539	1633416	1	671	1632660	3	2583	organic	correct	1636032	1	672	1634780	1638248	1	673	1636899	3	566	1638848	1	673	1636899	foc_02157.png	foc_Eule.png	foc_Brombeere.png	665	1619940	ok
62162	06/22/2021 15:36:03	1	3	1643146	1	675	1641140	1644812	1	676	1643260	2	1714	inorganic	correct	1646562	1	677	1645379	1649261	1	678	1647499	2	489	1649777	1	679	1649620	mac_59169.png	mac_Dartpfeil.png	mac_Medaille.png	665	1619940	ok
62162	06/22/2021 15:36:14	1	4	1652776	1	680	1651739	1654876	1	681	1653859	2	1360	organic	incorrect	1656259	1	682	1655980	1659274	1	683	1658100	3	350	1659657	1	683	1658100	mom_59361.png	mom_Loewe.png	mom_Ei.png	665	1619940	ok
62162	06/22/2021 15:36:26	1	5	1663106	1	685	1662339	1665122	1	686	1664460	3	1790	inorganic	incorrect	1666938	1	687	1666580	1670404	1	688	1668699	3	334	1670770	1	688	1668699	fai_07494.png	fai_Foehn.png	fai_Kommode.png	665	1619940	ok
62162	06/22/2021 15:36:36	1	6	1674902	1	690	1672940	1676685	1	691	1675059	2	654	organic	incorrect	1677368	1	692	1677179	1681567	1	694	1681420	2	361	1681950	1	694	1681420	moe_02012.png	moe_Waschbaer.png	moe_Pommes.png	665	1619940	ok
62162	06/22/2021 15:36:48	1	7	1685199	1	695	1683539	1687781	1	696	1685659	2	1800	inorganic	correct	1689614	1	697	1687780	1692163	1	699	1692019	3	419	1692613	1	699	1692019	maw_04767.png	maw_Pingpongschlaeger.png	maw_Schlauchboot.png	665	1619940	ok
62162	06/22/2021 15:36:58	1	8	1696995	1	701	1696260	1699611	1	702	1698379	2	1756	organic	incorrect	1701410	1	703	1700499	1703343	1	704	1702619	2	664	1704059	1	704	1702619	mog_03090.png	mog_Pilz.png	mog_Fledermaus.png	665	1619940	ok
62162	06/22/2021 15:37:08	1	9	1707008	1	706	1706859	1708991	1	706	1706859	2	2054	inorganic	correct	1711074	1	707	1708979	1712590	1	708	1711099	3	1148	1713773	1	709	1713219	mas_41366.png	mas_Tisch.png	mas_Bueroklammer.png	665	1619940	ok
62162	06/22/2021 15:37:18	1	10	1716938	1	710	1715339	1719054	1	711	1717459	3	1153	organic	correct	1720237	1	712	1719579	1722453	1	713	1721699	3	284	1722770	1	713	1721699	foe_08236.png	foe_Tannenzapfen.png	foe_Adler.png	665	1619940	ok
62162	06/22/2021 15:37:30	1	11	1726918	1	715	1725939	1730100	1	716	1728060	2	335	organic	incorrect	1730467	1	717	1730179	1734099	1	718	1732299	2	339	1734466	1	719	1734419	moj_11821.png	moj_Blatt.png	moj_Walnuss.png	665	1619940	ok
62162	06/22/2021 15:37:40	1	12	1739164	1	721	1738659	1741313	1	722	1740779	2	1695	organic	incorrect	1743046	1	723	1742899	1745012	1	723	1742899	2	865	1745912	1	724	1745019	foa_00207.png	foa_Marienkaefer.png	foa_Aubergine.png	665	1619940	ok
