ID	DateTime	Run	Delayed_Retrieval_Trial	First_Pulse_Time	FaceRecog_OnsetTime	FaceRecog_OnsetTimeUncertainty	FaceRecog_fMRI_Pulse	FaceRecog_fMRI_PulseTime	Assoc_Retrieval_OnsetTime	Assoc_Retrieval_OnsetTimeUncertainty	Assoc_Retrieval_fMRI_Pulse	Assoc_Retrieval_fMRI_PulseTime	Assoc_Retrieval_Pressed_Button	Assoc_Retrieval_RT	Assoc_Retrieval_Response_Category	Assoc_Retrieval_Accuracy	Assoc_Retrieval_Feedback_OnsetTime	Assoc_Retrieval_Feedback_OnsetTimeUncertainty	Assoc_Retrieval_Feedback_fMRI_Pulse	Assoc_Retrieval_Feedback_fMRI_PulseTime	Retrieval_consc_Rating_OnsetTime	Retrieval_consc_Rating_OnsetTimeUncertainty	Retrieval_consc_Rating_fMRI_Pulse	Retrieval_consc_Rating_fMRI_PulseTime	Retrieval_consc_Rating_Pressed_Button	Retrieval_consc_Rating_RT	Retrieval_consc_Rating_Feedback_OnsetTime	Retrieval_consc_Rating_Feedback_OnsetTimeUncertainty	Retrieval_consc_Rating_Feedback_fMRI_Pulse	Retrieval_consc_Rating_Feedback_fMRI_PulseTime	ForcedChoice_OnsetTime	ForcedChoice_OnsetTimeUncertainty	ForcedChoice_fMRI_Pulse	ForcedChoice_fMRI_PulseTime	ForcedChoice_Pressed_Button	ForcedChoice_RT	ForcedChoice_Response_Category	ForcedChoice_Accuracy	ForcedChoice_Feedback_OnsetTime	ForcedChoice_Feedback_OnsetTimeUncertainty	ForcedChoice_Feedback_fMRI_Pulse	ForcedChoice_Feedback_fMRI_PulseTime	Recognition_consc_Rating_OnsetTime	Recognition_consc_Rating_OnsetTimeUncertainty	Recognition_consc_Rating_fMRI_Pulse	Recognition_consc_Rating_fMRI_PulseTime	Recognition_consc_Rating_Pressed_Button	Recognition_consc_Rating_RT	Recognition_consc_Rating_Feedback_OnsetTime	Recognition_consc_Rating_Feedback_OnsetTimeUncertainty	Recognition_consc_Rating_Feedback_fMRI_Pulse	Recognition_consc_Rating_Feedback_fMRI_PulseTime	Presented_Person	Presented_Target	Presented_Lure	TrialStatus
65837	07/14/2021 14:23:17	1	1	156371	169326	1	7	169091	171058	1	7	169091	3	1451	organic	correct	172541	1	8	171211	174740	1	9	173331	4	924	175690	1	10	175451	178406	1	11	177571	3	1453	organic	correct	179889	1	12	179691	182504	1	13	181811	4	507	183038	1	13	181811	foq_16799.png	foq_Fenchel.png	foq_Pinguin.png	ok
65837	07/14/2021 14:23:38	1	2	156371	186936	1	15	186051	189785	1	16	188171	3	481	organic	correct	190302	1	16	188171	193551	1	18	192411	3	1122	194700	1	19	194531	198566	1	20	196651	2	1823	organic	correct	200415	1	21	198770	203164	1	23	203011	2	1078	204297	1	23	203011	for_15187.png	for_Mandel.png	for_Seehund.png	ok
65837	07/14/2021 14:23:58	1	3	156371	208063	1	25	207250	210362	1	26	209371	3	447	organic	correct	210845	1	26	209371	215110	1	28	213611	3	970	216110	1	29	215730	219109	1	30	217851	2	1548	organic	correct	220692	1	31	219971	223424	1	32	222090	3	1731	225190	1	33	224210	mog_03090.png	mog_Pilz.png	mog_Fledermaus.png	ok
65837	07/14/2021 14:24:18	1	4	156371	228322	1	34	226331	231488	1	36	230570	3	831	organic	correct	232354	1	36	230570	236120	1	38	234811	3	896	237053	1	39	236931	239668	1	40	239050	2	1251	organic	correct	240951	1	40	239050	244334	1	42	243291	3	627	244983	1	42	243291	mob_00760.png	mob_Kiwi.png	mob_Igel.png	ok
65837	07/14/2021 14:24:41	1	5	156371	248249	1	44	247530	251531	1	45	249651	2	496	inorganic	correct	252081	1	46	251771	256529	1	48	256010	4	362	256929	1	48	256010	261661	1	50	260251	3	787	inorganic	correct	262477	1	51	262370	266859	1	53	266611	4	382	267276	1	53	266611	faj_07783.png	faj_Parfuem.png	faj_Schuh.png	ok
65837	07/14/2021 14:25:01	1	6	156371	271341	1	55	270850	274124	1	56	272970	3	294	organic	correct	274440	1	56	272970	278839	1	58	277210	3	953	279822	1	59	279330	283470	1	60	281451	2	891	organic	correct	284387	1	61	283571	287119	1	62	285690	3	708	287852	1	63	287810	mot_69374.png	mot_Hotdog.png	mot_Bison.png	ok
65837	07/14/2021 14:25:22	1	7	156371	291001	1	64	289931	293367	1	65	292050	2	1394	organic	incorrect	294783	1	66	294170	297816	1	67	296290	2	746	298599	1	68	298411	302847	1	70	302650	3	1738	organic	correct	304630	1	70	302650	307829	1	72	306891	3	1012	308878	1	72	306891	foi_03389.png	foi_Apfelkuchen.png	foi_Pflanze.png	ok
65837	07/14/2021 14:25:43	1	8	156371	312111	1	74	311130	315593	1	76	315370	3	309	organic	correct	315926	1	76	315370	320191	1	78	319610	3	925	321141	1	78	319610	324773	1	80	323850	2	1223	organic	correct	326023	1	81	325970	329671	1	82	328090	3	1037	330738	1	83	330210	mol_07679.png	mol_Pizza.png	mol_Schimpanse.png	ok
65837	07/14/2021 14:26:04	1	9	156371	333403	1	84	332330	336436	1	85	334450	2	1669	inorganic	correct	338135	1	86	336570	340384	1	87	338690	2	510	340918	1	88	340810	344300	1	89	342930	2	1228	inorganic	correct	345549	1	90	345050	349231	1	91	347170	4	1119	350398	1	92	349290	faw_14215.png	faw_Hufeisen.png	faw_Kuechenmaschine.png	ok
65837	07/14/2021 14:26:23	1	10	156371	353997	1	94	353529	355929	1	95	355650	2	598	inorganic	correct	356562	1	95	355650	360461	1	97	359890	4	309	360794	1	97	359890	365343	1	99	364130	3	1326	inorganic	correct	366692	1	100	366250	369758	1	101	368370	4	798	370591	1	102	370489	map_41499.png	map_Pfeife.png	map_Globus.png	ok
