ID	DateTime	Run	Encoding_Trial	FaceBase_OnsetTime	FaceBase_OnsetTimeUncertainty	FaceBase_fMRI_Pulse	FaceBase_fMRI_PulseTime	Assoc_Encoding_OnsetTime	Assoc_Encoding_OnsetTimeUncertainty	Assoc_Encoding_fMRI_Pulse	Assoc_Encoding_fMRI_PulseTime	Immediate_Recall_OnsetTime	Immediate_Recall_OnsetTimeUncertainty	Immediate_Recall_fMRI_Pulse	Immediate_Recall_fMRI_PulseTime	Immediate_Recall_Pressed_Button	Immediate_Recall_RT	Immediate_Recall_Accuracy	Immediate_Recall_Feedback_OnsetTime	Immediate_Recall_Feedback_OnsetTimeUncertainty	Immediate_Recall_Feedback_fMRI_Pulse	Immediate_Recall_Feedback_fMRI_PulseTime	Presented_Person	Presented_Object	Object_Category	First_pulse_time	TrialStatus
66287	09/14/2021 13:30:47	1	1	54864	1	6	52612	57980	1	7	55322	62961	1	9	60722	2	971	correct	63961	1	10	63421	faw_14215.png	faw_Hufeisen.png	inorganic	39122	ok
66287	09/14/2021 13:30:59	1	2	66777	1	11	66122	70042	1	12	68822	74274	1	14	74222	3	774	correct	75091	1	14	74222	mon_65798.png	mon_Fuchs.png	organic	39122	ok
66287	09/14/2021 13:31:11	1	3	79039	1	15	76922	82222	1	16	79621	86370	1	18	85022	2	912	correct	87303	1	18	85022	map_41499.png	map_Pfeife.png	inorganic	39122	ok
66287	09/14/2021 13:31:23	1	4	91235	1	20	90422	94001	1	21	93122	98816	1	23	98522	2	837	correct	99682	1	23	98522	fai_07494.png	fai_Kommode.png	inorganic	39122	ok
66287	09/14/2021 13:31:34	1	5	102931	1	24	101222	106430	1	25	103921	110212	1	27	109321	2	1134	correct	111378	1	27	109321	fag_06539.png	fag_Geschenk.png	inorganic	39122	ok
66287	09/14/2021 13:31:46	1	6	114327	1	28	112021	116943	1	29	114722	121642	1	31	120122	3	973	correct	122641	1	31	120122	for_15187.png	for_Mandel.png	organic	39122	ok
66287	09/14/2021 13:31:59	1	7	125824	1	33	125521	129172	1	34	128222	134054	1	36	133621	2	929	correct	135020	1	36	133621	fat_12032.png	fat_Kleiderbuegel.png	inorganic	39122	ok
66287	09/14/2021 13:32:10	1	8	139169	1	38	139022	140918	1	38	139022	145184	1	40	144422	3	724	correct	145933	1	40	144422	fou_17118.png	fou_Schmetterling.png	organic	39122	ok
66287	09/14/2021 13:32:21	1	9	149965	1	42	149821	152798	1	43	152522	157096	1	44	155221	2	718	correct	157846	1	44	155221	fab_06018.png	fab_Staubsauger.png	inorganic	39122	ok
66287	09/14/2021 13:32:31	1	10	160912	1	46	160622	163544	1	47	163321	166943	1	48	166021	3	1334	correct	168309	1	48	166021	fov_15046.png	fov_Fisch.png	organic	39122	ok
66287	09/14/2021 13:32:43	1	11	170942	1	49	168722	172824	1	50	171421	177523	1	52	176822	2	679	correct	178239	1	52	176822	fap_16329.png	fap_Knopf.png	inorganic	39122	ok
66287	09/14/2021 13:32:54	1	12	182821	1	54	182221	184954	1	55	184922	188569	1	56	187621	3	888	correct	189485	1	56	187621	fop_00621.png	fop_Mango.png	organic	39122	ok
66287	09/14/2021 13:33:03	1	13	193684	1	58	193022	196166	1	59	195721	199399	1	60	198421	3	969	correct	200398	1	60	198421	mou_01862.png	mou_Kraehe.png	organic	39122	ok
66287	09/14/2021 13:33:13	1	14	202931	1	61	201121	205130	1	62	203821	208412	1	63	206521	3	1030	correct	209479	1	64	209221	moe_02012.png	moe_Waschbaer.png	organic	39122	ok
66287	09/14/2021 13:33:22	1	15	212827	1	65	211921	214610	1	65	211921	218092	1	67	217321	3	716	correct	218842	1	67	217321	mog_03090.png	mog_Fledermaus.png	organic	39122	ok
66287	09/14/2021 13:33:31	1	16	221491	1	68	220021	223157	1	69	222721	226506	1	70	225421	3	826	correct	227356	1	70	225421	fok_09378.png	fok_Palme.png	organic	39122	ok
66287	09/14/2021 13:33:41	1	17	231188	1	72	230821	233187	1	72	230821	236686	1	74	236221	2	1034	correct	237752	1	74	236221	mak_00987.png	mak_Rucksack.png	inorganic	39122	ok
66287	09/14/2021 13:33:52	1	18	241068	1	75	238920	244383	1	77	244321	248615	1	78	247020	2	638	correct	249282	1	78	247020	fal_07906.png	fal_Korb.png	inorganic	39122	ok
66287	09/14/2021 13:34:03	1	19	252114	1	79	249721	254130	1	80	252421	258445	1	82	257821	2	789	correct	259262	1	82	257821	mal_04470.png	mal_Drucker.png	inorganic	39122	ok
66287	09/14/2021 13:34:13	1	20	263144	1	83	260521	265410	1	84	263220	269442	1	86	268621	2	832	correct	270308	1	86	268621	mau_49693.png	mau_Wasserventil.png	inorganic	39122	ok
